Date,AQI
2020-12-31 00:00:00+00:00,91
2021-01-01 00:00:00+00:00,85
2021-01-02 00:00:00+00:00,92
2021-01-03 00:00:00+00:00,105
2021-01-04 00:00:00+00:00,98
2021-01-05 00:00:00+00:00,140
2021-01-06 00:00:00+00:00,122
2021-01-07 00:00:00+00:00,100
2021-01-08 00:00:00+00:00,85
2021-01-09 00:00:00+00:00,91
2021-01-10 00:00:00+00:00,90
2021-01-11 00:00:00+00:00,82
2021-01-12 00:00:00+00:00,75
2021-01-13 00:00:00+00:00,83
2021-01-14 00:00:00+00:00,84
2021-01-15 00:00:00+00:00,60
2021-01-16 00:00:00+00:00,56
2021-01-17 00:00:00+00:00,86
2021-01-18 00:00:00+00:00,107
2021-01-19 00:00:00+00:00,108
2021-01-20 00:00:00+00:00,101
2021-01-21 00:00:00+00:00,113
2021-01-22 00:00:00+00:00,104
2021-01-23 00:00:00+00:00,102
2021-01-24 00:00:00+00:00,95
2021-01-25 00:00:00+00:00,143
2021-01-26 00:00:00+00:00,115
2021-01-27 00:00:00+00:00,88
2021-01-28 00:00:00+00:00,88
2021-01-29 00:00:00+00:00,89
2021-01-30 00:00:00+00:00,90
2021-01-31 00:00:00+00:00,87
2021-02-01 00:00:00+00:00,90
2021-02-02 00:00:00+00:00,94
2021-02-03 00:00:00+00:00,114
2021-02-04 00:00:00+00:00,112
2021-02-05 00:00:00+00:00,107
2021-02-06 00:00:00+00:00,87
2021-02-07 00:00:00+00:00,88
2021-02-08 00:00:00+00:00,83
2021-02-09 00:00:00+00:00,85
2021-02-10 00:00:00+00:00,96
2021-02-11 00:00:00+00:00,106
2021-02-12 00:00:00+00:00,107
2021-02-13 00:00:00+00:00,112
2021-02-14 00:00:00+00:00,106
2021-02-15 00:00:00+00:00,120
2021-02-16 00:00:00+00:00,98
2021-02-17 00:00:00+00:00,90
2021-02-18 00:00:00+00:00,114
2021-02-19 00:00:00+00:00,95
2021-02-20 00:00:00+00:00,78
2021-02-21 00:00:00+00:00,67
2021-02-22 00:00:00+00:00,85
2021-02-23 00:00:00+00:00,103
2021-02-24 00:00:00+00:00,106
2021-02-25 00:00:00+00:00,125
2021-02-26 00:00:00+00:00,100
2021-02-27 00:00:00+00:00,104
2021-02-28 00:00:00+00:00,93
2021-03-01 00:00:00+00:00,110
2021-03-02 00:00:00+00:00,109
2021-03-03 00:00:00+00:00,104
2021-03-04 00:00:00+00:00,92
2021-03-05 00:00:00+00:00,103
2021-03-06 00:00:00+00:00,115
2021-03-07 00:00:00+00:00,104
2021-03-08 00:00:00+00:00,74
2021-03-09 00:00:00+00:00,73
2021-03-10 00:00:00+00:00,80
2021-03-11 00:00:00+00:00,88
2021-03-12 00:00:00+00:00,93
2021-03-13 00:00:00+00:00,78
2021-03-14 00:00:00+00:00,73
2021-03-15 00:00:00+00:00,85
2021-03-16 00:00:00+00:00,74
2021-03-17 00:00:00+00:00,90
2021-03-18 00:00:00+00:00,86
2021-03-19 00:00:00+00:00,73
2021-03-20 00:00:00+00:00,113
2021-03-21 00:00:00+00:00,123
2021-03-22 00:00:00+00:00,126
2021-03-23 00:00:00+00:00,114
2021-03-24 00:00:00+00:00,117
2021-03-25 00:00:00+00:00,109
2021-03-26 00:00:00+00:00,82
2021-03-27 00:00:00+00:00,78
2021-03-28 00:00:00+00:00,79
2021-03-29 00:00:00+00:00,74
2021-03-30 00:00:00+00:00,76
2021-03-31 00:00:00+00:00,78
2021-04-01 00:00:00+00:00,122
2021-04-02 00:00:00+00:00,110
2021-04-03 00:00:00+00:00,95
2021-04-04 00:00:00+00:00,95
2021-04-05 00:00:00+00:00,87
2021-04-06 00:00:00+00:00,91
2021-04-07 00:00:00+00:00,89
2021-04-08 00:00:00+00:00,86
2021-04-09 00:00:00+00:00,89
2021-04-10 00:00:00+00:00,101
2021-04-11 00:00:00+00:00,87
2021-04-12 00:00:00+00:00,82
2021-04-13 00:00:00+00:00,88
2021-04-14 00:00:00+00:00,67
2021-04-15 00:00:00+00:00,58
2021-04-16 00:00:00+00:00,55
2021-04-17 00:00:00+00:00,70
2021-04-18 00:00:00+00:00,103
2021-04-19 00:00:00+00:00,89
2021-04-20 00:00:00+00:00,64
2021-04-21 00:00:00+00:00,70
2021-04-22 00:00:00+00:00,101
2021-04-23 00:00:00+00:00,80
2021-04-24 00:00:00+00:00,69
2021-04-25 00:00:00+00:00,73
2021-04-26 00:00:00+00:00,63
2021-04-27 00:00:00+00:00,71
2021-04-28 00:00:00+00:00,94
2021-04-29 00:00:00+00:00,61
2021-04-30 00:00:00+00:00,54
2021-05-01 00:00:00+00:00,47
2021-05-02 00:00:00+00:00,59
2021-05-03 00:00:00+00:00,49
